ID	cell_name	defination	description
CL:0000000	cell	A Material Entity Of Anatomical Origin (Part Of Or Deriving From An Organism) That Has As Its Parts A Maximally Connected Cell Compartment Surrounded By A Plasma Membrane.	cell A Material Entity Of Anatomical Origin (Part Of Or Deriving From An Organism) That Has As Its Parts A Maximally Connected Cell Compartment Surrounded By A Plasma Membrane.
CL:0000001	primary cultured cell	A Cultured Cell That Is Freshly Isolated From A Organismal Source, Or Derives In Culture From Such A Cell Prior To The Culture Being Passaged.	primary cultured cell A Cultured Cell That Is Freshly Isolated From A Organismal Source, Or Derives In Culture From Such A Cell Prior To The Culture Being Passaged.
CL:0000002	obsolete immortal cell line cell	Obsolete: A Cell Line Cell That Is Expected To Be Capable Of An Unlimited Number Of Divisions, And Is Thus Able To Support Indefinite Growth/Propagation In Vitro As Part Of A Immortal Cell Line.	obsolete immortal cell line cell Obsolete: A Cell Line Cell That Is Expected To Be Capable Of An Unlimited Number Of Divisions, And Is Thus Able To Support Indefinite Growth/Propagation In Vitro As Part Of A Immortal Cell Line.
CL:0000003	native cell	A Cell That Is Found In A Natural Setting, Which Includes Multicellular Organism Cells 'In Vivo' (I.E. Part Of An Organism), And Unicellular Organisms 'In Environment' (I.E. Part Of A Natural Environment).	native cell A Cell That Is Found In A Natural Setting, Which Includes Multicellular Organism Cells 'In Vivo' (I.E. Part Of An Organism), And Unicellular Organisms 'In Environment' (I.E. Part Of A Natural Environment).
CL:0000004	obsolete cell by organism	Obsolete: A Classification Of Cells By The Organisms Within Which They Are Contained.	obsolete cell by organism Obsolete: A Classification Of Cells By The Organisms Within Which They Are Contained.
CL:0000005	fibroblast neural crest derived		fibroblast neural crest derived
CL:0000006	neuronal receptor cell		neuronal receptor cell
CL:0000007	early embryonic cell	A Cell Found In The Embryo Before The Formation Of All The Gem Layers Is Complete.	early embryonic cell A Cell Found In The Embryo Before The Formation Of All The Gem Layers Is Complete.
CL:0000008	migratory cranial neural crest cell		migratory cranial neural crest cell
CL:0000009	obsolete fusiform initial	Obsolete. Use Po:0000079 From Plant Ontology Instead. An Elongated Cell With Approximately Wedge-Shaped Ends, Found In The Vascular Cambium, Which Gives Rise To The Elements Of The Axial System In The Secondary Vascular Tissues.	obsolete fusiform initial Obsolete. Use Po:0000079 From Plant Ontology Instead. An Elongated Cell With Approximately Wedge-Shaped Ends, Found In The Vascular Cambium, Which Gives Rise To The Elements Of The Axial System In The Secondary Vascular Tissues.
CL:0000010	cultured cell	A Cell In Vitro That Is Or Has Been Maintained Or Propagated As Part Of A Cell Culture.	cultured cell A Cell In Vitro That Is Or Has Been Maintained Or Propagated As Part Of A Cell Culture.
CL:0000011	migratory trunk neural crest cell		migratory trunk neural crest cell
CL:0000012	obsolete cell by class		obsolete cell by class
CL:0000013	obsolete dentine secreting cell		obsolete dentine secreting cell
CL:0000014	germ line stem cell		germ line stem cell
CL:0000015	male germ cell		male germ cell
CL:0000016	male germ line stem cell		male germ line stem cell
CL:0000017	spermatocyte	A Male Germ Cell That Develops From Spermatogonia. The Euploid Primary Spermatocytes Undergo Meiosis And Give Rise To The Haploid Secondary Spermatocytes Which In Turn Give Rise To Spermatids.	spermatocyte A Male Germ Cell That Develops From Spermatogonia. The Euploid Primary Spermatocytes Undergo Meiosis And Give Rise To The Haploid Secondary Spermatocytes Which In Turn Give Rise To Spermatids.
CL:0000018	spermatid	A Male Germ Cell That Develops From The Haploid Secondary Spermatocytes. Without Further Division, Spermatids Undergo Structural Changes And Give Rise To Spermatozoa.	spermatid A Male Germ Cell That Develops From The Haploid Secondary Spermatocytes. Without Further Division, Spermatids Undergo Structural Changes And Give Rise To Spermatozoa.
CL:0000019	sperm	A Mature Male Germ Cell That Develops From A Spermatid.	sperm A Mature Male Germ Cell That Develops From A Spermatid.
CL:0000020	spermatogonium	An Euploid Male Germ Cell Of An Early Stage Of Spermatogenesis.	spermatogonium An Euploid Male Germ Cell Of An Early Stage Of Spermatogenesis.
CL:0000021	female germ cell	Female Germ Cell Is A Germ Cell That Supports Female Gamete Production.	female germ cell Female Germ Cell Is A Germ Cell That Supports Female Gamete Production.
CL:0000022	female germ line stem cell		female germ line stem cell
CL:0000023	oocyte	A Female Germ Cell That Has Entered Meiosis.	oocyte A Female Germ Cell That Has Entered Meiosis.
CL:0000024	oogonial cell	An Undifferentiated Germ Cell That Proliferates Rapidly And Gives Rise To Oocytes.	oogonial cell An Undifferentiated Germ Cell That Proliferates Rapidly And Gives Rise To Oocytes.
CL:0000025	egg cell	A Female Gamete Where Meiosis Has Progressed To Metaphase Ii And Is Able To Participate In Fertilization.	egg cell A Female Gamete Where Meiosis Has Progressed To Metaphase Ii And Is Able To Participate In Fertilization.
CL:0000026	invertebrate nurse cell	A Germline Cell That Contributes To The Development Of The Oocyte By Transferring Cytoplasm Directly To Oocyte.	invertebrate nurse cell A Germline Cell That Contributes To The Development Of The Oocyte By Transferring Cytoplasm Directly To Oocyte.
CL:0000027	smooth muscle cell neural crest derived		smooth muscle cell neural crest derived
CL:0000028	CNS neuron (sensu Nematoda and Protostomia)		CNS neuron (sensu Nematoda and Protostomia)
CL:0000029	neuron neural crest derived		neuron neural crest derived
CL:0000030	glioblast		glioblast
CL:0000031	neuroblast	A Cell That Will Develop Into A Neuron Often After A Migration Phase.	neuroblast A Cell That Will Develop Into A Neuron Often After A Migration Phase.
CL:0000032	neuroplacodal cell	A Cell Of A Platelike Structure, Especially A Thickened Plate Of Ectoderm In The Early Embryo, From Which A Sense Organ Develops.	neuroplacodal cell A Cell Of A Platelike Structure, Especially A Thickened Plate Of Ectoderm In The Early Embryo, From Which A Sense Organ Develops.
CL:0000033	apocrine cell	An Apocrine Cell Is A Secretory Cell Characterized Loss Of Part Of The Cytoplasm During The Process Of Secretion - Secretions Are Budded Off Through The Plasma Membrane Producing Membrane Bound Vesicles Containing The Secreted Substance.	apocrine cell An Apocrine Cell Is A Secretory Cell Characterized Loss Of Part Of The Cytoplasm During The Process Of Secretion - Secretions Are Budded Off Through The Plasma Membrane Producing Membrane Bound Vesicles Containing The Secreted Substance.
CL:0000034	stem cell	A Relatively Undifferentiated Cell That Retains The Ability To Divide And Proliferate Throughout Life To Provide Progenitor Cells That Can Differentiate Into Specialized Cells.	stem cell A Relatively Undifferentiated Cell That Retains The Ability To Divide And Proliferate Throughout Life To Provide Progenitor Cells That Can Differentiate Into Specialized Cells.
CL:0000035	single fate stem cell	A Stem Cell That Self-Renews As Well As Give Rise To A Single Mature Cell Type.	single fate stem cell A Stem Cell That Self-Renews As Well As Give Rise To A Single Mature Cell Type.
CL:0000036	epithelial fate stem cell		epithelial fate stem cell
CL:0000037	hematopoietic stem cell	A Stem Cell From Which All Cells Of The Lymphoid And Myeloid Lineages Develop, Including Blood Cells And Cells Of The Immune System. Hematopoietic Stem Cells Lack Cell Markers Of Effector Cells (Lin-Negative). Lin-Negative Is Defined By Lacking One Or More Of The Following Cell Surface Markers: Cd2, Cd3 Epsilon, Cd4, Cd5 ,Cd8 Alpha Chain, Cd11B, Cd14, Cd19, Cd20, Cd56, Ly6G, Ter119.	hematopoietic stem cell A Stem Cell From Which All Cells Of The Lymphoid And Myeloid Lineages Develop, Including Blood Cells And Cells Of The Immune System. Hematopoietic Stem Cells Lack Cell Markers Of Effector Cells (Lin-Negative). Lin-Negative Is Defined By Lacking One Or More Of The Following Cell Surface Markers: Cd2, Cd3 Epsilon, Cd4, Cd5 ,Cd8 Alpha Chain, Cd11B, Cd14, Cd19, Cd20, Cd56, Ly6G, Ter119.
CL:0000038	erythroid progenitor cell	A Progenitor Cell Committed To The Erythroid Lineage.	erythroid progenitor cell A Progenitor Cell Committed To The Erythroid Lineage.
CL:0000039	germ line cell	A Cell That Is Within The Developmental Lineage Of Gametes And Is Able To Pass Along Its Genetic Material To Offspring.	germ line cell A Cell That Is Within The Developmental Lineage Of Gametes And Is Able To Pass Along Its Genetic Material To Offspring.
CL:0000040	monoblast	A Myeloid Progenitor Cell Committed To The Monocyte Lineage. This Cell Is Cd11B-Positive, Has Basophilic Cytoplasm, Euchromatin, And The Presence Of A Nucleolus.	monoblast A Myeloid Progenitor Cell Committed To The Monocyte Lineage. This Cell Is Cd11B-Positive, Has Basophilic Cytoplasm, Euchromatin, And The Presence Of A Nucleolus.
